geneSymbol	Early malignant epithelial cell	Endothelial cell	Enteroendocrine	GMC	Goblet cell	MSC	PC	PMC	Premalignant epithelial cell	Stromal cell
SLC5A5	0	1.53419019	1.034955477	2.00164566	0	0	3.746271546	30.95469127	15.03032368	2.744718754
GKN1	17.68979821	868.0718272	340.2338192	430.5603157	233.504863	7598.808187	896.3927947	14308.65215	775.8038356	827.579093
GKN2	7.666156007	189.3198417	122.1034066	139.7976285	55.50715352	2184.698286	799.9633549	4667.300741	602.2868869	188.6109722
RP11-528G1.2	0.021336039	1.991884427	2.720275537	5.731532063	6.835925102	0	33.18604389	79.00765313	15.40338876	3.023452581
DPCR1	18.36242026	28.07132097	26.54457542	28.70199997	20.61835928	248.3450575	228.4942118	718.2227885	296.9222962	36.21146552
SOSTDC1	0.644777534	13.37643372	3.33415951	7.218854191	1.457656353	55.70409982	19.65832834	106.9421677	6.796582431	36.42546844
MAP7D2	0.021336039	1.710246765	3.15801524	0.296381548	0	0	6.291770547	15.84042724	0.063713861	1.297085912
LEPREL1	0	0.738510751	0.778097978	2.553431823	0	0	11.74914276	18.22880901	3.911798811	4.270104077
MAL	0.186827468	0.357577058	1.616848013	0.741124921	0.156997702	4.242717376	1.659094476	17.16033206	0.65584384	6.689735353
TFF1	693.5762174	1493.781476	1304.512669	2480.556995	5381.009834	26329.17162	14697.39517	44296.90617	15138.11391	1865.326805
LGALS9B	0.8099222	3.065793362	3.473597835	2.676872224	18.77112489	17.93271645	12.13831345	50.29472514	9.923070213	3.26240436
PSAPL1	0.9991784	8.834613945	4.718089241	10.48355061	1.883972419	459.1814837	39.68965245	167.1224012	23.89679075	15.47348969
LINC00443	0	0	0.314286329	10.29136065	0	0	25.08503429	28.10738114	6.254498072	0.643787811
NKX6-2	0	3.197201818	2.391524218	11.36139083	1.43020595	55.70409982	49.22303521	63.14199653	6.652184889	4.386834618
UNC5B-AS1	3.229786813	5.066738334	5.132515293	4.721519725	25.709389	59.32944533	30.88566543	89.38809179	18.32552566	6.261693829
MUC5AC	106.9817156	300.825286	289.6955616	481.2074293	724.9558752	4257.104019	2436.245675	5500.044356	2318.80478	490.178036
UPK1B	0.021336039	3.088423147	1.87243085	3.597364734	0.837098262	17.93271645	30.84214137	46.57876385	5.01633259	2.676415085
PSCA	30.7547026	102.6023876	598.4463619	119.4195283	69.31765459	1236.668073	252.1062095	1211.120562	533.5268437	125.1436573
DEFB1	8.086470557	2.699441395	6.787435468	2.56806442	0.600602877	8.485434751	16.82791754	107.7743158	19.96474368	43.67418425
FSIP2	0.544343247	0.829876604	2.043205953	0.376723911	2.291140229	0	3.910667803	13.94560183	2.866897344	3.166746295
RP11-800A18.4	3.710615111	2.103477375	6.097146119	11.57109182	13.90815155	0	68.89012032	115.5891326	40.00766381	3.575133162
CCDC64	1.90793735	2.481143932	6.501045212	2.067013629	2.272890236	0	8.294686757	26.7620823	34.17618318	2.982864248
GPR64	0.061926148	0.764260836	6.042517428	3.557177262	0.567022155	0	7.816360529	16.76352608	0.016265534	0.414903371
CSTA	0.272171623	3.813392461	1.489615688	8.110435444	4.208635175	55.70409982	43.91536294	78.637184	10.44736691	3.139402104
SPTSSB	2.046895858	2.990765409	19.01433505	3.41084521	15.56191254	4.242717376	30.24545306	69.04652341	5.82466856	6.711695024
GIPR	1.141938001	1.487301309	23.62091928	8.553675246	4.065103975	0	15.19338649	35.91239108	8.005391565	3.305998003
SHH	1.538308683	2.159914749	1.570685568	6.582756168	8.418963088	0	12.88498115	27.54634009	5.20085958	0.663734664
SPATA5	5.116744767	7.298205759	2.830382342	2.628199334	1.048544371	0	16.52415959	27.08988702	10.5828905	3.498931313
AKR1C2	3.799960718	12.08983067	17.29203744	15.25539907	23.6455672	11.39679066	60.25072486	145.32529	51.9232489	30.94355947
NRG4	0.625523464	0.540308765	1.610762	11.08658679	3.841261409	0	13.92378412	20.82477381	1.397463266	2.028476982
SOX21	0	3.35937391	4.94798474	19.22322365	3.728183003	80.17351769	49.06273342	66.59088902	29.80397638	3.961720018
IGSF9	1.192219612	0.365463415	5.534094034	2.704579367	4.396871443	0	17.95997666	31.92112666	16.54310283	2.226824052
VSIG1	16.9740857	14.48165159	15.10218732	79.70850842	32.24628304	73.6375919	186.0792778	291.6149202	71.85052583	14.3505728
LYPD6B	0.845299345	1.5034641	1.732944995	5.393586415	3.523853806	17.93271645	27.11299906	34.21010032	4.004964063	2.121777835
CARNS1	0.21127842	0.315664181	1.211246693	4.39037107	0	164.8532806	8.004304979	12.58379623	17.17073017	1.105445569
ALDH3A1	41.64225175	21.70649617	16.54147126	120.2091952	59.30389999	91.22583328	263.8451232	399.3937243	159.3416258	20.8613035
CLIC3	16.53080619	17.74883008	3.536921938	22.83571103	12.12754352	0	25.44984388	77.96140715	38.72894736	4.289317835
B4GALNT3	8.809645222	3.073436978	13.61250929	9.005355026	8.441501437	129.3409161	29.32862056	67.42528858	37.43124603	5.39459794
SCNN1B	0	11.19521723	1.647072507	1.351561206	0	35.8654329	0.893510058	12.45889787	0.027109224	1.10848047
SEMA7A	1.253112816	1.546360038	2.179920284	1.202788106	0.171619903	11.39679066	4.658587981	10.97202046	1.309862574	1.061441016
TRNP1	9.154556334	7.617657453	27.74345377	29.95316324	32.5522173	176.2500712	43.88133498	97.88437975	18.40129668	4.737986933
ZBTB7C	6.754922001	2.311784058	2.851635357	5.211065881	12.08932394	0	21.10649164	40.93972692	10.17025859	3.46736545
WFDC3	1.723554696	2.061737455	2.153079098	2.590668248	1.285039756	0	9.059251752	15.32546911	3.523359598	1.27556203
OTUD1	10.78853102	17.28902293	8.629009095	8.107823575	12.87583724	329.7065612	44.51542501	76.09478583	77.02268933	10.46584655
FAM177B	0.464195973	1.773914975	9.90596449	12.84293104	50.61453353	11.39679066	23.29998325	70.10119908	3.17807952	2.719510685
SPINK5	1.145415759	16.13869349	0.685069367	1.974442281	0	0	19.81098978	26.0147247	2.257606652	0.751396467
SLC7A8	10.46207494	9.358659113	28.71234526	30.82045341	25.31129447	248.3442818	64.82768368	127.7104806	39.55348064	8.38554795
FAM101A	9.120139318	8.548098595	7.923374588	46.59754009	43.1600021	117.3275292	63.04884544	142.2011566	107.4589173	11.13087205
